Step number,Step name,Elapsed Time (s),Working Electrode (V),Working Electrode vs. NHE (V),Current (mA),Current Density (mA/cm≤),Cumulative Charge (mAh),Counter Electrode (V)
1_1,Constant Potential,59.9959,0.199405,0.199405,0.00284195,0,4.74E-05,-0.195254
1_1,Constant Potential,119.996,0.199404,0.199404,0.000998487,0,7.94E-05,-0.189517
1_1,Constant Potential,179.996,0.199439,0.199439,0.000528575,0,9.21E-05,-0.184508
1_1,Constant Potential,239.996,0.199417,0.199417,0.000329907,0,9.92E-05,-0.180111
1_1,Constant Potential,299.996,0.19944,0.19944,0.000219069,0,0.000103821,-0.176069
1_1,Constant Potential,359.996,0.19941,0.19941,0.000157385,0,0.000106958,-0.172534
1_1,Constant Potential,419.996,0.199425,0.199425,0.000109992,0,0.000109186,-0.169102
1_1,Constant Potential,479.996,0.199402,0.199402,6.07E-05,0,0.000110608,-0.166186
1_1,Constant Potential,539.996,0.199393,0.199393,4.63E-05,0,0.000111499,-0.163321
1_1,Constant Potential,599.996,0.199405,0.199405,1.28E-05,0,0.000111992,-0.160177
1_1,Constant Potential,659.996,0.199444,0.199444,3.06E-06,0,0.000112124,-0.157674
1_1,Constant Potential,719.996,0.199408,0.199408,-2.93E-05,0,0.000111905,-0.155374
1_1,Constant Potential,779.996,0.199397,0.199397,-3.10E-05,0,0.000111403,-0.153335
1_1,Constant Potential,839.996,0.199376,0.199376,-3.32E-05,0,0.000110868,-0.151103
1_1,Constant Potential,899.996,0.199392,0.199392,-5.71E-05,0,0.000110115,-0.149151
1_1,Constant Potential,959.996,0.199382,0.199382,-5.12E-05,0,0.000109213,-0.147243
1_1,Constant Potential,1020,0.199384,0.199384,-3.35E-05,0,0.000108507,-0.145559
1_1,Constant Potential,1080,0.199356,0.199356,-8.23E-05,0,0.000107541,-0.143829
1_1,Constant Potential,1140,0.199359,0.199359,-6.49E-05,0,0.000106315,-0.141942
1_1,Constant Potential,1200,0.199373,0.199373,-7.08E-05,0,0.000105184,-0.14038
1_1,Constant Potential,1260,0.199374,0.199374,-6.14E-05,0,0.000104083,-0.138991
1_1,Constant Potential,1320,0.199349,0.199349,-7.99E-05,0,0.000102905,-0.137433
1_1,Constant Potential,1380,0.199372,0.199372,-8.76E-05,0,0.000101509,-0.136099
1_1,Constant Potential,1440,0.19934,0.19934,-6.76E-05,0,0.000100216,-0.134775
1_1,Constant Potential,1500,0.199392,0.199392,-0.00011178,0,9.87E-05,-0.133351
1_1,Constant Potential,1560,0.199395,0.199395,-8.11E-05,0,9.71E-05,-0.132164
1_1,Constant Potential,1620,0.199394,0.199394,-6.75E-05,0,9.59E-05,-0.130944
1_1,Constant Potential,1680,0.199401,0.199401,-0.000163332,0,9.40E-05,-0.129711
1_1,Constant Potential,1740,0.199388,0.199388,-0.000106035,0,9.17E-05,-0.128627
1_1,Constant Potential,1800,0.199376,0.199376,-0.00011375,0,8.99E-05,-0.127534
1_1,Constant Potential,1860,0.199361,0.199361,-8.63E-05,0,8.82E-05,-0.126591
1_1,Constant Potential,1920,0.199367,0.199367,-6.98E-05,0,8.69E-05,-0.125633
1_1,Constant Potential,1980,0.199394,0.199394,-0.000112878,0,8.54E-05,-0.124605
1_1,Constant Potential,2040,0.199407,0.199407,-7.92E-05,0,8.38E-05,-0.123772
1_1,Constant Potential,2100,0.199436,0.199436,-8.27E-05,0,8.24E-05,-0.122898
1_1,Constant Potential,2160,0.199431,0.199431,-7.08E-05,0,8.12E-05,-0.1221
1_1,Constant Potential,2220,0.199391,0.199391,-7.61E-05,0,7.99E-05,-0.121394
1_1,Constant Potential,2280,0.19935,0.19935,-0.000102789,0,7.84E-05,-0.120242
1_1,Constant Potential,2340,0.199389,0.199389,-0.000100024,0,7.68E-05,-0.1194
1_1,Constant Potential,2400,0.199396,0.199396,-0.000113686,0,7.50E-05,-0.118676
1_1,Constant Potential,2460,0.199394,0.199394,-7.50E-05,0,7.34E-05,-0.11799
1_1,Constant Potential,2520,0.199368,0.199368,-0.000295627,0,7.03E-05,-0.116901
1_1,Constant Potential,2580,0.19937,0.19937,-0.00010492,0,6.70E-05,-0.116563
1_1,Constant Potential,2640,0.199362,0.199362,-0.00011035,0,6.52E-05,-0.115772
1_1,Constant Potential,2700,0.19938,0.19938,-8.08E-05,0,6.36E-05,-0.115054
1_1,Constant Potential,2760,0.199376,0.199376,-7.09E-05,0,6.23E-05,-0.114425
1_1,Constant Potential,2820,0.199412,0.199412,-6.99E-05,0,6.12E-05,-0.113805
1_1,Constant Potential,2880,0.199389,0.199389,-0.000111521,0,5.96E-05,-0.113171
1_1,Constant Potential,2940,0.199373,0.199373,-6.77E-05,0,5.81E-05,-0.112685
1_1,Constant Potential,3000,0.199383,0.199383,-8.52E-05,0,5.69E-05,-0.112009
1_1,Constant Potential,3060,0.199383,0.199383,-7.53E-05,0,5.55E-05,-0.111309
1_1,Constant Potential,3120,0.199402,0.199402,-8.80E-05,0,5.42E-05,-0.110787
1_1,Constant Potential,3180,0.199407,0.199407,-0.000100327,0,5.26E-05,-0.110163
1_1,Constant Potential,3240,0.199383,0.199383,-8.45E-05,0,5.11E-05,-0.10972
1_1,Constant Potential,3300,0.19941,0.19941,-7.42E-05,0,4.97E-05,-0.109213
1_1,Constant Potential,3360,0.199383,0.199383,-0.000119775,0,4.81E-05,-0.108558
1_1,Constant Potential,3420,0.199358,0.199358,-7.97E-05,0,4.65E-05,-0.108062
1_1,Constant Potential,3480,0.199384,0.199384,-8.20E-05,0,4.51E-05,-0.107572
1_1,Constant Potential,3540,0.199379,0.199379,-8.71E-05,0,4.37E-05,-0.107087
1_1,Constant Potential,3600,0.199397,0.199397,-6.37E-05,0,4.24E-05,-0.106597
1_1,Constant Potential,3660,0.199376,0.199376,-6.98E-05,0,4.13E-05,-0.106143
1_1,Constant Potential,3720,0.199373,0.199373,-5.82E-05,0,4.03E-05,-0.105757
1_1,Constant Potential,3780,0.199396,0.199396,-8.00E-05,0,3.91E-05,-0.105303
1_1,Constant Potential,3840,0.199397,0.199397,-7.07E-05,0,3.79E-05,-0.104868
1_1,Constant Potential,3900,0.199376,0.199376,-9.39E-05,0,3.65E-05,-0.104508
1_1,Constant Potential,3960,0.199379,0.199379,-7.21E-05,0,3.51E-05,-0.103947
1_1,Constant Potential,4020,0.199365,0.199365,-5.02E-05,0,3.41E-05,-0.103688
1_1,Constant Potential,4080,0.199389,0.199389,-8.37E-05,0,3.30E-05,-0.103349
1_1,Constant Potential,4140,0.199359,0.199359,-8.69E-05,0,3.16E-05,-0.102957
1_1,Constant Potential,4200,0.199395,0.199395,-9.19E-05,0,3.01E-05,-0.10249
1_1,Constant Potential,4260,0.19939,0.19939,-7.47E-05,0,2.87E-05,-0.102138
1_1,Constant Potential,4320,0.199367,0.199367,-5.63E-05,0,2.76E-05,-0.101749
1_1,Constant Potential,4380,0.199394,0.199394,-9.40E-05,0,2.63E-05,-0.101392
1_1,Constant Potential,4440,0.199376,0.199376,-7.81E-05,0,2.49E-05,-0.101033
1_1,Constant Potential,4500,0.19937,0.19937,-6.73E-05,0,2.37E-05,-0.100747
1_1,Constant Potential,4560,0.19937,0.19937,-7.19E-05,0,2.25E-05,-0.100353
1_1,Constant Potential,4620,0.199351,0.199351,-6.44E-05,0,2.14E-05,-0.0999838
1_1,Constant Potential,4680,0.199379,0.199379,-6.44E-05,0,2.03E-05,-0.0996447
1_1,Constant Potential,4740,0.199377,0.199377,-3.77E-05,0,1.95E-05,-0.0994259
1_1,Constant Potential,4800,0.199376,0.199376,-6.84E-05,0,1.86E-05,-0.0991318
1_1,Constant Potential,4860,0.199379,0.199379,-5.44E-05,0,1.76E-05,-0.0987439
1_1,Constant Potential,4920,0.199352,0.199352,-7.28E-05,0,1.65E-05,-0.0984505
1_1,Constant Potential,4980,0.199376,0.199376,-0.000101023,0,1.50E-05,-0.0979955
1_1,Constant Potential,5040,0.199367,0.199367,-7.27E-05,0,1.36E-05,-0.0977828
1_1,Constant Potential,5100,0.199351,0.199351,-8.26E-05,0,1.23E-05,-0.0974879
1_1,Constant Potential,5160,0.199392,0.199392,-7.15E-05,0,1.10E-05,-0.0971991
1_1,Constant Potential,5220,0.199376,0.199376,-8.07E-05,0,9.75E-06,-0.0968195
1_1,Constant Potential,5280,0.199375,0.199375,-6.57E-05,0,8.53E-06,-0.0966374
1_1,Constant Potential,5340,0.199385,0.199385,-4.95E-05,0,7.57E-06,-0.0963402
1_1,Constant Potential,5400,0.199392,0.199392,-0.000136703,0,6.02E-06,-0.0959103
1_1,Constant Potential,5460,0.199376,0.199376,-0.000103091,0,4.02E-06,-0.0956055
1_1,Constant Potential,5520,0.199403,0.199403,-4.37E-05,0,2.80E-06,-0.0954074
1_1,Constant Potential,5580,0.199367,0.199367,-6.45E-05,0,1.90E-06,-0.0952024
1_1,Constant Potential,5640,0.199383,0.199383,-5.33E-05,0,9.16E-07,-0.0948785
1_1,Constant Potential,5700,0.199372,0.199372,-6.50E-05,0,-7.02E-08,-0.094726
1_1,Constant Potential,5760,0.199403,0.199403,-0.000103064,0,-1.47E-06,-0.0942596
1_1,Constant Potential,5820,0.199369,0.199369,-5.61E-05,0,-2.80E-06,-0.0940904
1_1,Constant Potential,5880,0.199399,0.199399,-5.67E-05,0,-3.74E-06,-0.0938298
1_1,Constant Potential,5940,0.199393,0.199393,-4.77E-05,0,-4.61E-06,-0.0936522
1_1,Constant Potential,6000,0.199363,0.199363,-6.10E-05,0,-5.51E-06,-0.0933009
1_1,Constant Potential,6060,0.19939,0.19939,-6.12E-05,0,-6.53E-06,-0.0931355
1_1,Constant Potential,6120,0.199386,0.199386,-6.40E-05,0,-7.58E-06,-0.0928147
1_1,Constant Potential,6180,0.199357,0.199357,-5.35E-05,0,-8.55E-06,-0.092602
1_1,Constant Potential,6240,0.199416,0.199416,-6.17E-05,0,-9.52E-06,-0.0924428
1_1,Constant Potential,6300,0.199405,0.199405,-5.08E-05,0,-1.05E-05,-0.092189
1_1,Constant Potential,6360,0.199367,0.199367,-6.28E-05,0,-1.14E-05,-0.0920503
1_1,Constant Potential,6420,0.199402,0.199402,-6.75E-05,0,-1.25E-05,-0.09183
1_1,Constant Potential,6480,0.199379,0.199379,-9.19E-05,0,-1.38E-05,-0.0915854
1_1,Constant Potential,6540,0.199376,0.199376,-5.94E-05,0,-1.51E-05,-0.0912798
1_1,Constant Potential,6600,0.199393,0.199393,-6.72E-05,0,-1.61E-05,-0.09109
1_1,Constant Potential,6660,0.199379,0.199379,-5.94E-05,0,-1.72E-05,-0.0909277
1_1,Constant Potential,6720,0.199402,0.199402,-5.39E-05,0,-1.81E-05,-0.0906831
1_1,Constant Potential,6780,0.199401,0.199401,-4.25E-05,0,-1.89E-05,-0.0904758
1_1,Constant Potential,6840,0.199399,0.199399,-2.76E-05,0,-1.95E-05,-0.0901793
1_1,Constant Potential,6900,0.199402,0.199402,-3.69E-05,0,-2.01E-05,-0.0900238
1_1,Constant Potential,6960,0.199359,0.199359,-6.17E-05,0,-2.09E-05,-0.0898653
1_1,Constant Potential,7020,0.199404,0.199404,-3.32E-05,0,-2.17E-05,-0.0897419
1_1,Constant Potential,7080,0.199424,0.199424,-7.84E-05,0,-2.26E-05,-0.0890941
1_1,Constant Potential,7140,0.199371,0.199371,-2.64E-05,0,-2.35E-05,-0.0889805
1_1,Constant Potential,7200,0.199395,0.199395,-3.34E-05,0,-2.40E-05,-0.088899
1_1,Constant Potential,7260,0.199388,0.199388,-0.000386028,0,-2.75E-05,-0.0881552
1_1,Constant Potential,7320,0.199364,0.199364,-5.66E-05,0,-3.12E-05,-0.0880317
1_1,Constant Potential,7380,0.199413,0.199413,-6.32E-05,0,-3.21E-05,-0.0879585
1_1,Constant Potential,7440,0.199381,0.199381,-3.09E-05,0,-3.29E-05,-0.0878374
1_1,Constant Potential,7500,0.199396,0.199396,-5.02E-05,0,-3.36E-05,-0.0878549
1_1,Constant Potential,7560,0.199391,0.199391,-7.41E-05,0,-3.46E-05,-0.0876613
1_1,Constant Potential,7620,0.199381,0.199381,-5.73E-05,0,-3.57E-05,-0.087483
1_1,Constant Potential,7680,0.1994,0.1994,-2.85E-05,0,-3.65E-05,-0.0874784
1_1,Constant Potential,7740,0.199379,0.199379,-4.59E-05,0,-3.71E-05,-0.0873031
1_1,Constant Potential,7800,0.199403,0.199403,-4.12E-05,0,-3.78E-05,-0.0870272
1_1,Constant Potential,7860,0.199394,0.199394,-6.72E-05,0,-3.87E-05,-0.0867651
1_1,Constant Potential,7920,0.199421,0.199421,-2.36E-05,0,-3.95E-05,-0.0867902
1_1,Constant Potential,7980,0.199393,0.199393,-9.67E-05,0,-4.05E-05,-0.0865471
1_1,Constant Potential,8040,0.199395,0.199395,-1.62E-05,0,-4.14E-05,-0.0866096
1_1,Constant Potential,8100,0.199372,0.199372,-5.78E-05,0,-4.20E-05,-0.0863909
1_1,Constant Potential,8160,0.199381,0.199381,-5.36E-05,0,-4.29E-05,-0.0862148
1_1,Constant Potential,8220,0.199402,0.199402,-3.90E-05,0,-4.37E-05,-0.0860792
1_1,Constant Potential,8280,0.199398,0.199398,-2.76E-05,0,-4.43E-05,-0.0860068
1_1,Constant Potential,8340,0.1994,0.1994,-4.89E-05,0,-4.49E-05,-0.0859069
1_1,Constant Potential,8400,0.199375,0.199375,-5.38E-05,0,-4.58E-05,-0.0853285
1_1,Constant Potential,8460,0.199371,0.199371,-6.79E-05,0,-4.68E-05,-0.0847577
1_1,Constant Potential,8520,0.199396,0.199396,-4.93E-05,0,-4.78E-05,-0.0847653
1_1,Constant Potential,8580,0.199376,0.199376,-7.19E-05,0,-4.88E-05,-0.084523
1_1,Constant Potential,8640,0.199361,0.199361,-4.43E-05,0,-4.97E-05,-0.0841175
1_1,Constant Potential,8700,0.199389,0.199389,-3.36E-05,0,-5.04E-05,-0.0840863
1_1,Constant Potential,8760,0.199351,0.199351,-2.62E-05,0,-5.09E-05,-0.0839742
1_1,Constant Potential,8820,0.199385,0.199385,-1.06E-05,0,-5.12E-05,-0.0839788
1_1,Constant Potential,8880,0.199376,0.199376,-1.59E-05,0,-5.14E-05,-0.0837037
1_1,Constant Potential,8940,0.199381,0.199381,-2.88E-05,0,-5.18E-05,-0.0837814
1_1,Constant Potential,9000,0.199392,0.199392,-6.09E-05,0,-5.25E-05,-0.0833493
1_1,Constant Potential,9060,0.199372,0.199372,-6.02E-05,0,-5.35E-05,-0.0834385
1_1,Constant Potential,9120,0.1994,0.1994,-1.14E-06,0,-5.41E-05,-0.083392
1_1,Constant Potential,9180,0.199406,0.199406,-3.57E-05,0,-5.44E-05,-0.0833043
1_1,Constant Potential,9240,0.199399,0.199399,-1.88E-05,0,-5.48E-05,-0.0831512
1_1,Constant Potential,9300,0.199383,0.199383,-4.26E-05,0,-5.53E-05,-0.0831275
1_1,Constant Potential,9360,0.199399,0.199399,-3.25E-05,0,-5.60E-05,-0.083123
1_1,Constant Potential,9420,0.199383,0.199383,-7.43E-05,0,-5.68E-05,-0.0829111
1_1,Constant Potential,9480,0.199389,0.199389,-4.85E-05,0,-5.79E-05,-0.0826489
1_1,Constant Potential,9540,0.199374,0.199374,-2.79E-05,0,-5.85E-05,-0.0822801
1_1,Constant Potential,9600,0.199383,0.199383,-3.79E-05,0,-5.91E-05,-0.0822313
1_1,Constant Potential,9660,0.199376,0.199376,-2.19E-05,0,-5.96E-05,-0.0823418
1_1,Constant Potential,9720,0.199385,0.199385,-4.54E-05,0,-6.01E-05,-0.0824241
1_1,Constant Potential,9780,0.19937,0.19937,-4.48E-05,0,-6.09E-05,-0.0822709
1_1,Constant Potential,9840,0.199393,0.199393,-8.26E-06,0,-6.13E-05,-0.0823357
1_1,Constant Potential,9900,0.199363,0.199363,-3.29E-05,0,-6.16E-05,-0.082293
1_1,Constant Potential,9960,0.199424,0.199424,-2.30E-05,0,-6.21E-05,-0.0822077
1_1,Constant Potential,10020,0.199393,0.199393,-2.35E-05,0,-6.25E-05,-0.0815126
1_1,Constant Potential,10080,0.199386,0.199386,-2.89E-05,0,-6.29E-05,-0.0813793
1_1,Constant Potential,10140,0.199388,0.199388,-1.95E-05,0,-6.33E-05,-0.0815203
1_1,Constant Potential,10200,0.199378,0.199378,-2.70E-05,0,-6.37E-05,-0.0814783
1_1,Constant Potential,10260,0.199427,0.199427,-1.97E-05,0,-6.41E-05,-0.0813694
1_1,Constant Potential,10320,0.199386,0.199386,-6.79E-06,0,-6.43E-05,-0.0814204
1_1,Constant Potential,10380,0.199434,0.199434,-2.13E-05,0,-6.46E-05,-0.0812901
1_1,Constant Potential,10440,0.199387,0.199387,-3.75E-05,0,-6.51E-05,-0.0811964
1_1,Constant Potential,10500,0.199395,0.199395,-2.98E-05,0,-6.56E-05,-0.0810272
1_1,Constant Potential,10560,0.199424,0.199424,-8.91E-06,0,-6.59E-05,-0.0810828
1_1,Constant Potential,10620,0.199363,0.199363,-2.22E-05,0,-6.62E-05,-0.0810866
1_1,Constant Potential,10680,0.199405,0.199405,-8.02E-05,0,-6.71E-05,-0.080762
1_1,Constant Potential,10740,0.199396,0.199396,-7.35E-06,0,-6.78E-05,-0.0806393
1_1,Constant Potential,10800,0.199408,0.199408,-4.11E-05,0,-6.82E-05,-0.0806454
1_1,Constant Potential,10860,0.199363,0.199363,-8.20E-05,0,-6.92E-05,-0.0805714
1_1,Constant Potential,10920,0.199346,0.199346,-2.71E-05,0,-7.01E-05,-0.0805859
1_1,Constant Potential,10980,0.199405,0.199405,8.78E-06,0,-7.03E-05,-0.0797438
1_1,Constant Potential,11040,0.199402,0.199402,-1.73E-05,0,-7.04E-05,-0.0799854
1_1,Constant Potential,11100,0.199396,0.199396,-7.47E-06,0,-7.06E-05,-0.0800349
1_1,Constant Potential,11160,0.199407,0.199407,-3.02E-05,0,-7.09E-05,-0.0800608
1_1,Constant Potential,11220,0.199385,0.199385,-1.91E-05,0,-7.13E-05,-0.0798863
1_1,Constant Potential,11280,0.199388,0.199388,-2.10E-05,0,-7.16E-05,-0.0797232
1_1,Constant Potential,11340,0.199398,0.199398,-1.85E-05,0,-7.19E-05,-0.0797743
1_1,Constant Potential,11400,0.199403,0.199403,-2.88E-05,0,-7.23E-05,-0.0795997
1_1,Constant Potential,11460,0.199374,0.199374,-1.81E-05,0,-7.27E-05,-0.0794458
1_1,Constant Potential,11520,0.199367,0.199367,9.52E-07,0,-7.29E-05,-0.0795342
1_1,Constant Potential,11580,0.199395,0.199395,-4.26E-05,0,-7.32E-05,-0.0792027
1_1,Constant Potential,11640,0.199376,0.199376,-3.49E-06,0,-7.36E-05,-0.0790693
1_1,Constant Potential,11700,0.199404,0.199404,-2.99E-05,0,-7.39E-05,-0.0791996
1_1,Constant Potential,11760,0.199369,0.199369,-8.22E-05,0,-7.48E-05,-0.078955
1_1,Constant Potential,11820,0.199386,0.199386,-2.20E-05,0,-7.57E-05,-0.0788285
1_1,Constant Potential,11880,0.199396,0.199396,-5.54E-05,0,-7.63E-05,-0.0786578
1_1,Constant Potential,11940,0.19936,0.19936,9.67E-06,0,-7.67E-05,-0.0785503
1_1,Constant Potential,12000,0.199383,0.199383,-1.88E-05,0,-7.68E-05,-0.0785846
1_1,Constant Potential,12060,0.199372,0.199372,-1.92E-05,0,-7.71E-05,-0.0784734
1_1,Constant Potential,12120,0.199389,0.199389,-4.50E-05,0,-7.76E-05,-0.0784452
1_1,Constant Potential,12180,0.199366,0.199366,-2.98E-05,0,-7.83E-05,-0.0783613
1_1,Constant Potential,12240,0.199371,0.199371,-4.36E-05,0,-7.89E-05,-0.078122
1_1,Constant Potential,12300,0.199392,0.199392,-1.03E-05,0,-7.93E-05,-0.0781555
1_1,Constant Potential,12360,0.199389,0.199389,-7.79E-06,0,-7.95E-05,-0.0782272
1_1,Constant Potential,12420,0.199399,0.199399,-9.06E-05,0,-8.03E-05,-0.077965
1_1,Constant Potential,12480,0.199367,0.199367,-3.17E-05,0,-8.13E-05,-0.0779132
1_1,Constant Potential,12540,0.199421,0.199421,-2.42E-05,0,-8.18E-05,-0.077632
1_1,Constant Potential,12600,0.199415,0.199415,-2.06E-05,0,-8.22E-05,-0.0776434
1_1,Constant Potential,12660,0.199388,0.199388,-7.99E-05,0,-8.30E-05,-0.0770002
1_1,Constant Potential,12720,0.199397,0.199397,-3.47E-05,0,-8.39E-05,-0.0771717
1_1,Constant Potential,12780,0.199373,0.199373,-4.67E-06,0,-8.43E-05,-0.077116
1_1,Constant Potential,12840,0.199386,0.199386,-1.81E-05,0,-8.45E-05,-0.0770749
1_1,Constant Potential,12900,0.199408,0.199408,-3.87E-05,0,-8.49E-05,-0.0769438
1_1,Constant Potential,12960,0.199415,0.199415,2.82E-06,0,-8.52E-05,-0.0770718
1_1,Constant Potential,13020,0.199424,0.199424,-0.000105217,0,-8.61E-05,-0.0769583
1_1,Constant Potential,13080,0.199369,0.199369,-2.68E-05,0,-8.72E-05,-0.0769804
1_1,Constant Potential,13140,0.199403,0.199403,-0.000161589,0,-8.88E-05,-0.0767563
1_1,Constant Potential,13200,0.19941,0.19941,-7.86E-06,0,-9.02E-05,-0.0767304
1_1,Constant Potential,13260,0.199396,0.199396,-2.35E-05,0,-9.04E-05,-0.076802
1_1,Constant Potential,13320,0.199429,0.199429,-1.01E-05,0,-9.07E-05,-0.0766146
1_1,Constant Potential,13380,0.199384,0.199384,-1.45E-05,0,-9.09E-05,-0.0766146
1_1,Constant Potential,13440,0.199355,0.199355,-8.62E-06,0,-9.11E-05,-0.076735
1_1,Constant Potential,13500,0.199399,0.199399,-1.82E-05,0,-9.13E-05,-0.0761405
1_1,Constant Potential,13560,0.199372,0.199372,-6.84E-06,0,-9.15E-05,-0.0763791
1_1,Constant Potential,13620,0.199408,0.199408,-1.26E-05,0,-9.17E-05,-0.0764957
1_1,Constant Potential,13680,0.19938,0.19938,-3.81E-05,0,-9.21E-05,-0.0762518
1_1,Constant Potential,13740,0.199395,0.199395,-6.88E-05,0,-9.30E-05,-0.0760666
1_1,Constant Potential,13800,0.199414,0.199414,-3.91E-05,0,-9.39E-05,-0.0761093
1_1,Constant Potential,13860,0.199382,0.199382,-1.05E-05,0,-9.43E-05,-0.0760681
1_1,Constant Potential,13920,0.199391,0.199391,5.39E-06,0,-9.44E-05,-0.0761718
1_1,Constant Potential,13980,0.199373,0.199373,-2.93E-05,0,-9.46E-05,-0.0760918
1_1,Constant Potential,14040,0.199388,0.199388,-4.73E-05,0,-9.52E-05,-0.0759729
1_1,Constant Potential,14100,0.199394,0.199394,-0.000137971,0,-9.68E-05,-0.0757496
1_1,Constant Potential,14160,0.199408,0.199408,-2.41E-05,0,-9.81E-05,-0.0757473
1_1,Constant Potential,14220,0.199398,0.199398,-2.72E-05,0,-9.85E-05,-0.0755309
1_1,Constant Potential,14280,0.199372,0.199372,6.64E-09,0,-9.88E-05,-0.0756078
1_1,Constant Potential,14340,0.199394,0.199394,4.04E-06,0,-9.87E-05,-0.0755926
1_1,Constant Potential,14400,0.199366,0.199366,-3.44E-05,0,-9.90E-05,-0.0756482
1_1,Constant Potential,14460,0.19942,0.19942,-1.16E-05,0,-9.94E-05,-0.0754432
1_1,Constant Potential,14520,0.199372,0.199372,-4.09E-05,0,-9.98E-05,-0.0753098
1_1,Constant Potential,14580,0.199376,0.199376,-1.01E-05,0,-0.000100224,-0.0751094
1_1,Constant Potential,14640,0.199367,0.199367,-1.89E-05,0,-0.000100466,-0.0750111
1_1,Constant Potential,14700,0.199436,0.199436,-2.07E-05,0,-0.000100797,-0.0750248
1_1,Constant Potential,14760,0.199386,0.199386,-4.88E-06,0,-0.00010101,-0.0749798
1_1,Constant Potential,14820,0.1994,0.1994,-2.89E-05,0,-0.000101291,-0.0749326
1_1,Constant Potential,14880,0.199383,0.199383,-1.54E-05,0,-0.000101661,-0.074944
1_1,Constant Potential,14940,0.199392,0.199392,-1.79E-05,0,-0.000101938,-0.0747726
1_1,Constant Potential,15000,0.199353,0.199353,-1.40E-05,0,-0.000102204,-0.0747253
1_1,Constant Potential,15060,0.199398,0.199398,-2.92E-05,0,-0.000102564,-0.0747405
1_1,Constant Potential,15120,0.199375,0.199375,-2.72E-05,0,-0.000103033,-0.0746057
1_1,Constant Potential,15180,0.199391,0.199391,-3.74E-05,0,-0.000103571,-0.0745493
1_1,Constant Potential,15240,0.199399,0.199399,-4.92E-06,0,-0.000103923,-0.0744837
1_1,Constant Potential,15300,0.199363,0.199363,-2.55E-05,0,-0.000104177,-0.074374
1_1,Constant Potential,15360,0.199379,0.199379,1.28E-06,0,-0.000104378,-0.0744487
1_1,Constant Potential,15420,0.199403,0.199403,-1.77E-05,0,-0.000104515,-0.0743664
1_1,Constant Potential,15480,0.199392,0.199392,-1.08E-05,0,-0.000104753,-0.0742726
1_1,Constant Potential,15540,0.199395,0.199395,1.12E-05,0,-0.00010475,-0.0742917
1_1,Constant Potential,15600,0.199371,0.199371,-1.40E-05,0,-0.000104773,-0.0741918
1_1,Constant Potential,15660,0.199389,0.199389,-1.20E-05,0,-0.00010499,-0.0742139
1_1,Constant Potential,15720,0.19943,0.19943,-1.61E-05,0,-0.000105225,-0.074185
1_1,Constant Potential,15780,0.199418,0.199418,-2.02E-05,0,-0.000105528,-0.0739144
1_1,Constant Potential,15840,0.199379,0.199379,-1.35E-05,0,-0.000105809,-0.0739838
1_1,Constant Potential,15900,0.199396,0.199396,-3.73E-05,0,-0.000106232,-0.0739335
1_1,Constant Potential,15960,0.199392,0.199392,-1.40E-05,0,-0.00010666,-0.0735966
1_1,Constant Potential,16020,0.199396,0.199396,1.18E-05,0,-0.000106677,-0.0732019
1_1,Constant Potential,16080,0.199407,0.199407,-1.36E-05,0,-0.000106692,-0.0733916
1_1,Constant Potential,16140,0.199384,0.199384,-1.29E-05,0,-0.000106913,-0.0733024
1_1,Constant Potential,16200,0.199363,0.199363,-1.84E-05,0,-0.000107174,-0.073323
1_1,Constant Potential,16260,0.199402,0.199402,-7.44E-06,0,-0.000107389,-0.0731904
1_1,Constant Potential,16320,0.199366,0.199366,-4.43E-06,0,-0.000107488,-0.0731317
1_1,Constant Potential,16380,0.199391,0.199391,-4.87E-06,0,-0.000107565,-0.0731356
1_1,Constant Potential,16440,0.19936,0.19936,-1.70E-05,0,-0.000107747,-0.0732583
1_1,Constant Potential,16500,0.199396,0.199396,-0.000135453,0,-0.000109017,-0.0730929
1_1,Constant Potential,16560,0.19939,0.19939,9.27E-06,0,-0.000110069,-0.0730525
1_1,Constant Potential,16620,0.199401,0.199401,-1.98E-05,0,-0.000110156,-0.0731066
1_1,Constant Potential,16680,0.199367,0.199367,-1.02E-05,0,-0.000110406,-0.073131
1_1,Constant Potential,16740,0.199386,0.199386,-2.19E-05,0,-0.000110673,-0.0730776
1_1,Constant Potential,16800,0.199381,0.199381,-3.15E-05,0,-0.000111118,-0.072833
1_1,Constant Potential,16860,0.199363,0.199363,-7.24E-06,0,-0.000111441,-0.0727286
1_1,Constant Potential,16920,0.199386,0.199386,1.08E-05,0,-0.000111412,-0.072724
1_1,Constant Potential,16980,0.19936,0.19936,2.79E-06,0,-0.000111299,-0.0727156
1_1,Constant Potential,17040,0.199374,0.199374,5.17E-06,0,-0.000111232,-0.0725647
1_1,Constant Potential,17100,0.199395,0.199395,-2.30E-05,0,-0.000111381,-0.0724093
1_1,Constant Potential,17160,0.199386,0.199386,4.94E-06,0,-0.000111532,-0.072516
1_1,Constant Potential,17220,0.199367,0.199367,-1.03E-05,0,-0.000111576,-0.0723414
1_1,Constant Potential,17280,0.199385,0.199385,-1.31E-06,0,-0.000111673,-0.0722652
1_1,Constant Potential,17340,0.199383,0.199383,-2.07E-06,0,-0.000111701,-0.0723651
1_1,Constant Potential,17400,0.199388,0.199388,-1.37E-05,0,-0.000111833,-0.0723216
